apor,  , t ,apoñer ,
aporcar,  , t ,amontear ,
aporrear,  , t ,acirrar embizcar encirrar ,
aportar2,  , t ,achegar=> ,
apoupiñar,  , i ,atoutiñar ,
apracíbel,  , a ,apracible ,
apracible,  , a ,apracíbel ,
aprazábel,  , a ,aprazable ,
aprazable,  , a ,aprazábel ,
apreciábel,  , a ,apreciable ,
apreciabelmente,  , av ,apreciablemente ,
apreciable,  , a ,apreciábel ,
apreciablemente,  , av ,apreciabelmente ,
apremio,  , m ,prema=> ,
aprender,  , t i ,deprender ,
apretar,  , t ,apertar> ,
aprobábel,  , a ,aprobable ,
aprobable,  , a ,aprobábel ,
apromar,  , t ,achumbar> ,
apropiábel,  , a ,apropiable ,
apropiable,  , a ,apropiábel ,
aproveitábel,  , a ,aproveitable ,
aproveitable,  , a ,aproveitábel ,
apuxar,  , t ,empuxar ,
apuxón,  , m ,empuxón ,
aquecer,  , i ,acaer ,
aquelo,  , p ,aquilo> ,vid aquel
aquendar,  , t ,arroldar atempar atenzar ,
ar,  , m ,aire ,
arábel,  , a ,arable ,
arabela,  , f ,rabela ,
arable,  , a ,arábel ,
aramio,  , m ,arame=> ,
arauto,  , m ,heraldo ,
arbitrábel,  , a ,arbitrable ,
arbitrable,  , a ,arbitrábel ,
arborizábel,  , a ,arborizable ,
arborizable,  , a ,arborizábel ,
arbotante,  , m ,arcobotante> ,
arcabucería,  , f ,arcabuzaría ,
arcabuzaría,  , f ,arcabucería ,
arcea,  , f ,cea2 ,
arcediago,  , m ,arquidiácono ,
arcén,  , m ,beiravía> ,
archi-,  , pref ,arqui-> ,gr 'principal'
areixa,  , f ,arengo besa careixa chamiza2 sen2 vareixa ,
arelo,  , m ,cernizo cerrizo ,aranguelo
arengo,  , m ,areixa besa careixa chamiza2 sen2 vareixa ,
arentar,  , t ,garandar ,
arento,  , m ,garanda ,
arfar,  , i ,arquexar inar ,
arinque,  , m ,orinque ,
armábel,  , a ,armable ,
armable,  , a ,armábel ,
armaría,  , f ,armería ,
armería,  , f ,armaría ,
armonía,  , f ,harmonía> ,
arna,  , f ,cachal ,
arneiro,  , m ,arneirón arneste ,
arneirón,  , m ,arneiro=> arneste=> ,
arneste,  , m ,arneiro arneirón ,
arnoián, arnoiá , a s ,arnoiao ,A Arnoia
arnoiao, arnoiá , a s ,arnoián ,
arola,  , f ,mexarela ,
arouxo,  , m ,axóuxere ,
arpía,  , f ,harpía> ,
arquexar,  , i ,arfar inar ,
arquidiácono,  , m ,arcediago ,
arquiepiscopal,  , a ,arcebispal ,
arquivábel,  , a ,arquivable ,
arquivable,  , a ,arquivábel ,
arrabaldo,  , m ,arrabalde> ,
arrabear,  , i ,rabiar=> ,
arrabuñar,  , t ,rabuñar=> ,
arrafén,  , s ,refén ,
arraiar,  , t i ,raiar2=> ,
arranca,  , f ,arrinca ,
arrancada,  , f ,arrincada ,
arrancadeira,  , f ,arrincadeira ,
arrancar,  , t i ,arrincar ,
arrandeadoiro,  , m ,bambán carriola randeeira ,
arrandear,  , t pr ,arrolicar carriolar randear ,
arranque,  , m ,arrinque ,
arrapañar,  , t ,repañar=> ,
arrautada,  , f ,arroutada=> ,
arrecadar,  , t ,recadar=> ,
arrecender,  , i ,recender=> ,
arrecendo,  , m ,recendo=> ,
arreconchegar,  , t pr ,aconchegar=> ,
arrecuar,  , i ,recuar=> ,
arrecunchar,  , t pr ,acurrunchar ,
arregalar,  , t ,regalar> ,
arregañar,  , t i ,regañar=> ,
arrelar,  , t i pr ,arrenlar ,
arremangar,  , t pr ,remangar ,
arremedábel,  , a ,arremedable ,
arremedable,  , a ,arremedábel ,
arremollar,  , i ,aubrar ubrar ,
arrenda,  , f ,redra ,< arrendar2
arrendábel,  , a ,arrendable ,
arrendable,  , a ,arrendábel ,
arrendar2,  , t ,redrar ,
arrenegar,  , t i ,renegar=> ,
arrenlar,  , t i pr ,arrelar ,
arrepañar,  , t ,repañar=> ,
arrepiar,  , t i pr ,arrepuiñar ,
arrepoñer,  , pr ,arrepor ,
arrepor,  , pr ,arrepoñer ,
arrepuiñar,  , t i pr ,arrepiar ,
arrequichar,  , t ,requichar=> ,
arrestrelar,  , t ,restelar2=> ,
arreutada,  , f ,arroutada=> ,
arreuto,  , m ,arrouto=> ,
arriano, arriana , a s ,ariano> ,
arrinca,  , f ,arranca ,
arrincada,  , f ,arrancada ,
arrincadeira,  , f ,arrancadeira ,
arrincar,  , t i ,arrancar ,
arrinconar,  , t ,acantoar> ,
arrinque,  , m ,arranque ,
arrizar1,  , t ,acirrar=> ,
arró,  , m ,arroleiro comareiro cómaro cómbaro ,
arrodear2,  , t i pr ,rodear ,
arrodeo,  , m ,rodeo ,< arrodear2
arroibado, arroibada , pt a ,arrubiado ,
arroibar,  , i pr ,arrubiar ,
arrolar1,  , t pr ,abarrelar ,< rorro
arrolar2,  , t i ,roular2 ,< roda
arroldar,  , t ,aquendar atempar atenzar ,
arroleiro,  , m ,arró comareiro cómaro cómbaro ,
arrolicar,  , t pr ,arrandear carriolar randear ,
arromanzar,  , t ,romancear ,
arrousar,  , t ,rousar> ,
arrubiado, arrubiada , a ,arroibado ,
arrubiar,  , i pr ,arroibar ,
arrugar,  , t pr ,engurrar=> ,
arrumbar,  , t i ,arrombar> ,
arruñar,  , i ,agatuñar ,
articulábel,  , a ,articulable ,
articulable,  , a ,articulábel ,
artillaría,  , f ,artillería ,
artillería,  , f ,artillaría ,
artr-,  , pref ,artro- ,articulación
artro-,  , pref ,artr- ,articulación
arume1,  , m ,garfa pilro ,< ar
arxilar,  , t ,axixilar ,
arxivo, arxiva , a s ,heleno ,
ascendíbel,  , a ,ascendible ,
ascendible,  , a ,ascendíbel ,
asegurábel,  , a ,asegurable ,
asegurable,  , a ,asegurábel ,
aseitar,  , i ,asexar axexar ,
asén,  , f ,sen2> ,
asequible,  , a ,alcanzable> accesible> ,
asexante,  , a ,axexante ,
asexar,  , t ,aseitar axexar ,
asexo,  , m ,axexo ,
asimetría,  , f ,disimetría ,
asimétrico, asimétrica , a ,disimétrico ,
asimilábel,  , a ,asimilable ,
asimilable,  , a ,asimilábel ,
asinábel,  , a ,asinable ,
asinable,  , a ,asinábel ,
asinatura,  , f ,sinatura> ,
asisado, asisada , a ,axuizado ,
asmo,  , am ,ácimo ,
asnelo,  , m ,burro guindastre ,
asoar,  , t pr ,fungar ,o nariz
asociábel,  , a ,asociable ,
asociable,  , a ,asociábel ,
asoprar,  , i ,soprar> ,
asosegar,  , t i pr ,sosegar> ,
aspavento,  , m ,espavento> ,
aspilladoira,  , f ,empilladoira ,
asta,  , f ,hasta> ,
ástrago,  , m ,astro2 ,
